Заголовок;Ссылка на изображение;car link;Марка;Год;Описание;Кол-во людей;Кол-во дверей;Коробка передач;1-2 дня;3-6 дней;7-14 дней;15-30 дней;1-2 месяца;Залог;rt1;rt2;rt3;rt4;rt5;rt6;limit;orun;ch1;ch2;ch3;ch4;ch5;ch6;ch11;ch12;ch13;ch14;ch15;nolimit;fullprotect;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;class
BMW X5 M Sport Plus;https://www.avtomaxi.ru/upload/resize_cache/iblock/686/205_134_1/6869a4b83620642427d719daf1a17977.jpg;https://www.avtomaxi.ru/park/all/arenda-bmw-x5-m-sport-plus/;BMW;2021;Новый BMW X5 G05 M Sport Plus– богатая версия культового внедорожника.;5;5;Aвтомат;18900;17955;17010;16065;15120;50000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 20 P / км;Дизельный;249 л.с. ;230 км/ч;6.5 с;7.7 л/100 км;Автоматическая;Полный;5;4922 мм;645 л;да;2700;3500;https://www.avtomaxi.ru/upload/resize_cache/iblock/c57/498_374_1/c57943cb037d82f68ea9ca52b2fa0596.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c11/498_374_1/c112b8844c77240c566fd852944d42aa.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/68f/498_374_1/68fd7625a765fff5b4746d301ee0d279.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/945/498_374_1/945944208fcf4cccb23689b11d340ee1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a73/498_374_1/a736af9d794360ccb0bc36f30bdf33dc.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/499/498_374_1/4992cd538284b68d3a89e0b5999f9b09.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/6d6/498_374_1/6d625c367db092d04a3e8390ace6c7d1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5c7/498_374_1/5c758e16b158dad0fe46d6bc80505f72.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e1d/498_374_1/e1d8b3071a1796e93c1c50f598f68264.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/52b/498_374_1/52ba71fabe3859ea83a1e61f9341643b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/466/498_374_1/466fd7fe700f590bb98cfa29219f7b13.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e00/498_374_1/e00bd2a15be25b3e938ea098e72a46f5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c58/498_374_1/c5828be95c4e77cf1aa05c023eda5785.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bb9/498_374_1/bb941ae873b2fc47b390df1ec76d3283.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/198/498_374_1/1981b5da24cb0685f7b56483966b97bc.JPG;Премиум
Mazda 6 Active+;https://www.avtomaxi.ru/upload/resize_cache/iblock/c5d/200_134_1/c5d6bfbaaf94f226fc4cf3f33de759a6.jpeg;https://www.avtomaxi.ru/park/all/mazda-6-2019/;Mazda;2019;MAZDA 6 III рестайлинг II Active+ - это стремительный силуэт, отменная управляемость и драйв.;5;4;Aвтомат;5605;5325;5045;4764;4484;15000;Водительский стаж не менее 3 лет;Минимальный возраст 23 года;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый;150 л.с. ;207 км/ч;10.5 с;6.1 л/100 км;Автоматическая;Передний;5;4870 мм;429 л;2019;1100;1200;https://www.avtomaxi.ru/upload/resize_cache/iblock/067/498_374_1/06794c507e141983237707fae04116d5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a35/498_374_1/a3519663322b9b507d297e05496cdbde.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a5f/498_374_1/a5f194924a5f740fd78bc6d52c5eb96b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4c1/498_374_1/4c18cbd2b202c0b1a2e40ae426bd6cb8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ece/498_374_1/ecee726f8db4d0f89af8c21a64817de1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c26/498_374_1/c2692b677f6f53fdaa654cdb2f0eb41a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/69c/498_374_1/69cf5ed10537ca8c545989a21469f76f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/51f/498_374_1/51f5950dcc83904ae499b938aeae9338.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/753/498_374_1/753626558cc6d2da61f2cd29ed900667.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/833/498_374_1/833a24b141b0ad8683ac5945a21ca77c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/183/498_374_1/1833e673cf33d2103069198c788c1a02.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/610/498_374_1/6104f3a1ef7639ad1c3fb8e153b59d55.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d1f/498_374_1/d1f05808970fd7810df0a434dcf95ec7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/2a2/498_374_1/2a2bc0124b0a235da148b5a2c52843ee.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8a5/498_374_1/8a57c14177da57c8f4ea8953a552efc1.JPG;Бизнес
Kia K5 2.4  Luxe;https://www.avtomaxi.ru/upload/resize_cache/iblock/57b/200_134_1/57b52b6e97676c9dfbe3f18232d32304.jpeg;https://www.avtomaxi.ru/park/all/arenda-kia-k5-2-4-luxe/;KIA;2021;Аренда КИА K52021 г. - новый седан бизнес класса  с мощным двигателем 2,4л., кожаным салоном и богатой комплектацией.;5;4;Aвтомат;6365;6047;5729;5410;5092;20000;Водительский стаж не менее 3 лет;Минимальный возраст 23 года;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый 2,4;194 л.с. ;210 км/ч;8.9 с;8.3 л/100 км;;Автоматическая;Передний;4905 мм;510 л;2021;1200;1400;https://www.avtomaxi.ru/upload/resize_cache/iblock/c8e/498_374_1/c8e726d18b220f7f6e8fc5bb78de4132.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8ac/498_374_1/8ac08c39c0873aeb7fe07318d3fed6de.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4f6/498_374_1/4f61d8eb44fca5c365fb502a39e570ee.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/013/498_374_1/01399943aa21d4b7b6630503ba1c798c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/eba/498_374_1/ebad80db7a8820bc36058248cdca1666.jpeg;https://www.avtomaxi.ru/upload/resize_cache/iblock/500/498_374_1/5000e488ef988e7140af94f5762a9b8c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f8c/498_374_1/f8ce230f1733139c110f713ad2c011ef.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a58/498_374_1/a5826593cee80e3523e2312dbf539c17.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/757/498_374_1/757fc34126df9cc057b09bf25574c6b5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/883/498_374_1/8836a8019ca993f8229dadd9c45690c1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b19/498_374_1/b19b523edeed62e0f0c1c923cb2eea64.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f47/498_374_1/f4784d71bfb9907f4d144e8d679bfccd.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0d9/498_374_1/0d96e7504e9d2da5d127943fcd8f2c4a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/72b/498_374_1/72b36f86aeed81edbb72049dc7af3a29.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0d5/498_374_1/0d51112ce3b3ab898b9e17bb9a5f10d4.JPG;Бизнес
Mercedes A200 sedan ;https://www.avtomaxi.ru/upload/resize_cache/iblock/389/205_134_1/3896d5ff0833817cc53e9de022cefd97.jpeg;;MERCEDES;2019;Mercedes A200  – компактный седан нового поколения с великолепным дизайном. Эксклюзив в прокате ТРОЙКА.;5;5;Aвтомат;6500;6175;5850;5525;5200;15000;Водительский стаж не менее 2-x лет;Минимальный возраст 21 год;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый;163 л.с.;230 км/ч;8.1 с;5.4 л/100 км;Автоматическая;Передний;5;4549 мм;420 л.;2019;1100;1200;https://www.avtomaxi.ru/upload/resize_cache/iblock/5b1/498_374_1/5b1f43332001ce165eef040c2db7af3e.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/018/498_374_1/01898df1b2617995d778aa3a0009633d.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ce8/498_374_1/ce88f815005c65949aaba5e1d916cd7b.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/90b/498_374_1/90b8d8e5a27eb7b6a733ef25902ec269.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/a98/498_374_1/a98a6c5e95db77b13cf4eea19920ad10.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ec3/498_374_1/ec3391f3511c22e88844f0210707bbb2.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2e7/498_374_1/2e7d73a3d692def580bcf680fb73c509.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/186/498_374_1/1867e4aa24ccef6d4560fcd51b2cb495.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2c7/498_374_1/2c7c4cc9fd70f7b8c48b6c67ce4be3ea.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/e4c/498_374_1/e4c1476df1c6b14c686a1c21d2f0f545.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/83d/498_374_1/83d6c96130597716c1e81538b7837e88.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/f70/498_374_1/f70854cca9f1b5498e91c7f29a157cf1.jpg;;;;Стандарт
Nissan X-Trail 4x4  ;https://www.avtomaxi.ru/upload/resize_cache/iblock/0de/205_134_1/x_trail.jpeg;;Nissan;2017-18;Аренда полноприводного Nissan X-Trail. Новая внешность легендарная проходимость известного внедорожника.;5;5;Aвтомат;6500;6175;5850;5525;5200;15000;Водительский стаж не менее 3 лет;Минимальный возраст 23 года;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый;144 л.с.;180 км/ч;12.1 с;7.5 л/100 км;Вариатор;Полный;5;4640 мм;497 л;2018;1100;1200;https://www.avtomaxi.ru/upload/resize_cache/iblock/799/498_374_1/7993cb89eb7e6b5f9f32809412f7e2c5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/439/498_374_1/439a976ecd3110b77566baf505b54d61.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/90c/498_374_1/90c27a56533c421cf4c574d9d94775d6.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f09/498_374_1/f09fd2272a4dc7cffefe27eddddbac1b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c1b/498_374_1/c1bc6c03353b1a30f2999db86c0ab43d.JPG;;;;;;;;;;;Внедорожники
Toyota Camry XV70 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/722/205_134_1/72266a3a386be95672c086425e822bf1.jpeg;;TOYOTA;2019;Аренда Toyota Camry XV70 в богатой комплектации с кожаным салоном;5;4;Aвтомат;6600;6270;5940;5610;5280;20000;Водительский стаж не менее 3 лет;Минимальный возраст 23 года;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый;150-181 л.с. ;210 км/ч;9,9 с;7.1 л/100 км;Автоматическая;Передний;5;4885 мм;493 л;2019;1200;1400;https://www.avtomaxi.ru/upload/resize_cache/iblock/78f/498_374_1/78f5813e0d7f6b2f7b7f153de36bdf0f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/5df/498_374_1/5df160093990ee4acc9423e2569323fb.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/130/498_374_1/1308453d6ad3d6f0e7b2a54c092ec9b5.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ee7/498_374_1/ee7076c1e2cd585a5818f2acd2a46613.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a85/498_374_1/a85de57ba0afa0f265d86855ccab9ad3.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/304/498_374_1/304c88c4222b2de50404d6bae719f6c9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5b2/498_374_1/5b209ee39a32b1d79818439baf24be6a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9f3/498_374_1/9f341933685396f7cfd6b18976db7060.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/111/498_374_1/11163a18e13bbe7cf9875b8965db84c1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d63/498_374_1/d6328e6b8c8738357fd40e16e53a099e.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/488/498_374_1/488888b007a065000602ad756d79b588.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/797/498_374_1/79713cb5df60dd139232ce675cb649f5.jpg;;;;Бизнес
Skoda Kodiaq ;https://www.avtomaxi.ru/upload/resize_cache/iblock/569/205_134_1/569067a6f46cf4611a4357d041ba6c55.jpeg;;Skoda;2021;Skoda Kodiaq - полноприводный средне размерный кроссовер.;5;4;Aвтомат;7200;6840;6480;6120;5760;20000;Водительский стаж не менее 3 лет;Минимальный возраст 23 года;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый;150 л.с. ;191 км/ч;9,7 с;7,1 л/100 км;Автоматическая ;Полный;5;4697 мм;565 л;2021;1500;1600;https://www.avtomaxi.ru/upload/resize_cache/iblock/9f9/498_374_1/9f9afab58abb98fe0186de3bfdedc1fc.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a42/498_374_1/a4249761ffb36eb073980bcdf529e498.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/809/498_374_1/8091118afc533057626e2adbef320d22.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/73b/498_374_1/73b8052495fe429740025d8d06c5331b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/131/498_374_1/1314e0ef6b56e1ac311551c5fc78ab43.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fa4/498_374_1/fa4ced761747a9c424d1eb4a2ed128dc.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/693/498_374_1/69389405938c6a827f48bd9fa4b0d2f2.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/555/498_374_1/555cab6342504f11f438b05c6cec51e5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4a2/498_374_1/4a2d549723d070d9f02a7ab59e759076.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5f0/498_374_1/5f0087579706b79f9c9876b5feab5e66.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/783/498_374_1/78398188a7e89ad33a945408e777e687.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/f9f/498_374_1/f9fe573f66b9d9c4549544ca2e47d991.JPG;;;;Внедорожники
Mercedes CLA 200 Sport 2020 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/e51/205_134_1/e5184e889dcc3abeb900a89ba26a2a68.jpg;;Mercedes;2020;ТРОЙКА - аренда автомобиля Mercedes CLA II Sport. Мерседес CLA класса в кузове 2020 года, с AMG пакетом, выделит вас на дороге.;5;4;Aвтомат;7700;7315;6930;6545;6160;20000;Водительский стаж не менее 3 лет;Минимальный возраст 23 года;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 12 P / км;Бензиновый;150 л.с.;229 км/ч;8.5 с;5.7 л/100 км;Роботизированная;Передний;5;4688 мм;460 л;2020;1500;1600;https://www.avtomaxi.ru/upload/resize_cache/iblock/f82/498_374_1/f825ff0a4e434cb3b5644b5ac419c908.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1ee/498_374_1/1ee72376d1f1dbe51ccc8999502b3d4f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/450/498_374_1/450d16d705a30b36f241b110d234af11.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/4b8/498_374_1/4b81016ecfae62d3536c8e59feab0a67.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2b0/498_374_1/2b09d91e54017465d1073219f294984f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/597/498_374_1/5978595f3a701409e7aa14cddc38ad34.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/db8/498_374_1/db8d5b58f2fbab50a575dbfb4348cb02.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/c69/498_374_1/c691d42ad60141b05e1325d8426ff0ea.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/437/498_374_1/437479e13516e738bc21548aa3a2ded5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/7ea/498_374_1/7ea8f76f544ebf80977c39a6ae117c2c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1da/498_374_1/1dad80076937d07d521aa1e5bd707f53.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/719/498_374_1/719408ab9aa50f99c7cd31185c00d8e3.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/467/498_374_1/467e3b9ebc11b9e5d4d2721465370417.jpg;;;Бизнес
Mercedes E-class ;https://www.avtomaxi.ru/upload/resize_cache/iblock/7bd/205_134_1/7bdac38ce82b13d179f6c04b6e3d1209.png;;Mercedes;2018-2019;Аренда Mersedes E-class W213  2018-19 годов, в богатой комплектации в новейшем кузове выделит вас среди равных. Возможна аренда с выкупом.;5;4;Aвтомат;8400;7980;7560;7140;6720;25000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Бензиновый;184 л.с.;240 км/ч;7.7 с;6.3 л/100 км;Автоматическая;Задний;5;4923 мм;540 л;2018-2019;1500;1700;https://www.avtomaxi.ru/upload/resize_cache/iblock/0d6/498_374_1/0d677ed243b7be3c5fce3d9aa08ea180.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/703/498_374_1/703577a21e4fe212fd607ae5cadd2de4.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/8c1/498_374_1/8c14b3ec26d1dfbc734188cc51524a6d.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b92/498_374_1/b92a7e871ffbb8a95472aaa294df9b30.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/432/498_374_1/4326f66465f3727e6ffbb3ca8d89f7d1.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/39c/498_374_1/39cf8467002eb813b6fcc0bdaa3246a5.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/65c/498_374_1/65c4a1ef77ae0bd94b850b8940ea72a5.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/d35/498_374_1/d35c1166cfd56228019f61ba9d8ce874.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/d82/498_374_1/d82730d9b1a57071b8190224f6682da2.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/32d/498_374_1/32de1d3a7d4d304d5bbd356926c6c0a2.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/08f/498_374_1/08fff1e636d7f17e46dfad65fd551fbb.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/144/498_374_1/1448cc8f0dd19213f60248b9a7964cea.jpg;;;;Бизнес
BMW 520 G30 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/710/205_134_1/7102273e60cd7469a84becb9e519c4ce.jpeg;;BMW;2018-19;Люксовый седан 2019г. Лучшая управляемость в классе. Аренда БМВ 5 без водителя. Возможна аренда с выкупом.;5;5;Aвтомат;8500;8075;7650;7225;6800;25000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Дизельный;190 л.с. ;232 км/ч;7.5 сек;4.9 л/100 км ;Автоматическая ;Задний;5;4936 мм;530 л;2019;1500;1700;https://www.avtomaxi.ru/upload/resize_cache/iblock/a39/498_374_1/a39e3f0c58d0d32aee3318fe30d3964f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/3a0/498_374_1/3a0854126e94973cb6524bc785983dbe.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8c3/498_374_1/8c363e52f419571e3373304324748c68.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ce2/498_374_1/ce2a3d6776c088cfa8dc6cdadec9a40e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fcc/498_374_1/fcc3134b6eea9271ea38be1e3d28cc76.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fbc/498_374_1/fbc1ab3cc3eac45499876acba742396d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ab5/498_374_1/ab5a0acf06dc4e4695aedf187eaa794e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/15e/498_374_1/15e5a83a0a799f2a0c41ef205f971f18.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b5f/498_374_1/b5f1d3bb94f053703220915f09fa771c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/83c/498_374_1/83c0c03808671efbea90c3e93c501863.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5c7/498_374_1/5c78a4b2ae731bf46f1a85970d0ab8d4.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8f4/498_374_1/8f465aad6cec78be6297d058a1b724ad.png;https://www.avtomaxi.ru/upload/resize_cache/iblock/017/498_374_1/01798c22d62683355a8bbee1cc27f0b8.JPG;;;Бизнес
BMW 520d X-Drive G30 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/713/205_134_1/7131b2c454cd8360aef66fd21ae20c11.jpg;;BMW;2019;BMW 520d X-Drive G30 – полноприводный люксовый седан 2019г. Лучшая управляемость в классе.;5;5;Aвтомат;8800;8360;7920;7480;7040;25000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Дизельный;190 л.с. ;232 км/ч;7.5 сек;4.9 л/100 км ;Автоматическая ;Полный;5;4936 мм;530 л;2018, 2019;1500;1700;https://www.avtomaxi.ru/upload/resize_cache/iblock/29e/498_374_1/29e36372c05de5f53ce561e303636896.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/680/498_374_1/680220039c6225e2b2c4e060ff595967.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ddd/498_374_1/ddd44b4e9957e42cabef5f35194e2fdc.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/c29/498_374_1/c29f976c3871205ef43fc02eee58b200.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/313/498_374_1/313e0ed8ee62100e596e63858d3668a5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/32e/498_374_1/32e07eba54a809cf20325c16ad9012b0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/add/498_374_1/addb788534ee8329b934bbbc2d06dfa1.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2d1/498_374_1/2d125a2b43281bbe15bb743baefa302f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/70d/498_374_1/70dac5c4ede3a349429bf348f0d17860.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/9f7/498_374_1/9f70a51e7f7331e40dac29896102f199.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/151/498_374_1/15199407f06a0f9dd081ede627379eea.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/788/498_374_1/788da6d26da0fae95d47fb07bc566181.JPG;;;;Бизнес
